chart_year,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2021,Luke Bryan,Down To One,0.632,0.548,7.0,-6.438,1.0,0.0842,0.137,0.0,0.106,0.596,80.362,audio_features,07t4ML5fFkVP9TzrbY1byX,spotify:track:07t4ML5fFkVP9TzrbY1byX,https://api.spotify.com/v1/tracks/07t4ML5fFkVP9TzrbY1byX,https://api.spotify.com/v1/audio-analysis/07t4ML5fFkVP9TzrbY1byX,159000.0,4.0
2021,Erica Banks,Buss It,0.792,0.555,0.0,-7.038,1.0,0.34,0.0394,6.39e-06,0.107,0.084,99.954,audio_features,5H0NU2sHWUnWCcZyYlX46X,spotify:track:5H0NU2sHWUnWCcZyYlX46X,https://api.spotify.com/v1/tracks/5H0NU2sHWUnWCcZyYlX46X,https://api.spotify.com/v1/audio-analysis/5H0NU2sHWUnWCcZyYlX46X,273600.0,4.0
2021,Florida Georgia Line,Long Live,0.667,0.723,5.0,-4.31,0.0,0.27,0.0455,0.000193,0.213,0.251,148.058,audio_features,6tarvNiKnEjYMj1VZhlDqR,spotify:track:6tarvNiKnEjYMj1VZhlDqR,https://api.spotify.com/v1/tracks/6tarvNiKnEjYMj1VZhlDqR,https://api.spotify.com/v1/audio-analysis/6tarvNiKnEjYMj1VZhlDqR,153475.0,4.0
2021,Dua Lipa,We're Good,0.618,0.717,7.0,-5.738,1.0,0.318,0.00256,0.0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693.0,4.0
2021,Moneybagg Yo,Time Today,0.51,0.989,2.0,-3.683,1.0,0.0868,0.0027,0.0,0.321,0.517,97.197,audio_features,1Uoh1ASBKif53olECpgCWz,spotify:track:1Uoh1ASBKif53olECpgCWz,https://api.spotify.com/v1/tracks/1Uoh1ASBKif53olECpgCWz,https://api.spotify.com/v1/audio-analysis/1Uoh1ASBKif53olECpgCWz,167120.0,4.0
2021,Nipsey Hussle & JAY-Z,What It Feels Like,0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131,audio_features,0GONea6G2XdnHWjNZd6zt3,spotify:track:0GONea6G2XdnHWjNZd6zt3,https://api.spotify.com/v1/tracks/0GONea6G2XdnHWjNZd6zt3,https://api.spotify.com/v1/audio-analysis/0GONea6G2XdnHWjNZd6zt3,216053.0,4.0
2021,Kelsea Ballerini,Hole In The Bottle,0.811,0.853,3.0,-4.692,1.0,0.0725,0.629,6.08e-05,0.0814,0.965,98.923,audio_features,66FBgvFrhWCUqjUSf5nNZl,spotify:track:66FBgvFrhWCUqjUSf5nNZl,https://api.spotify.com/v1/tracks/66FBgvFrhWCUqjUSf5nNZl,https://api.spotify.com/v1/audio-analysis/66FBgvFrhWCUqjUSf5nNZl,182499.0,3.0
2021,Morgan Wallen,Wasted On You,0.461,0.161,8.0,-11.145,1.0,0.405,0.878,0.0,0.17,0.353,88.781,audio_features,0H2MmFtJgoeywCIbAN3sid,spotify:track:0H2MmFtJgoeywCIbAN3sid,https://api.spotify.com/v1/tracks/0H2MmFtJgoeywCIbAN3sid,https://api.spotify.com/v1/audio-analysis/0H2MmFtJgoeywCIbAN3sid,132000.0,3.0
2021,SpotemGottem,Beat Box,0.903,0.48,8.0,-8.34,1.0,0.108,0.717,0.0,0.106,0.673,98.022,audio_features,1QC0kBXdJJZskViUhhpFSg,spotify:track:1QC0kBXdJJZskViUhhpFSg,https://api.spotify.com/v1/tracks/1QC0kBXdJJZskViUhhpFSg,https://api.spotify.com/v1/audio-analysis/1QC0kBXdJJZskViUhhpFSg,176723.0,4.0
2021,Gabby Barrett,The Good Ones,0.885,0.178,4.0,-17.65,0.0,0.283,0.0492,0.858,0.112,0.28,123.88,audio_features,2O2ZzyG6wUB8pVRcIWPOSP,spotify:track:2O2ZzyG6wUB8pVRcIWPOSP,https://api.spotify.com/v1/tracks/2O2ZzyG6wUB8pVRcIWPOSP,https://api.spotify.com/v1/audio-analysis/2O2ZzyG6wUB8pVRcIWPOSP,30589.0,4.0
2021,Thomas Rhett,What's Your Country Song,0.258,0.129,6.0,-27.348,1.0,0.0374,0.98,0.655,0.118,0.187,145.61,audio_features,6URJvy8H2QCh9fUZmN3C6i,spotify:track:6URJvy8H2QCh9fUZmN3C6i,https://api.spotify.com/v1/tracks/6URJvy8H2QCh9fUZmN3C6i,https://api.spotify.com/v1/audio-analysis/6URJvy8H2QCh9fUZmN3C6i,141250.0,4.0
2021,Morgan Wallen,Sand In My Boots,0.528,0.718,7.0,-6.954,1.0,0.0337,0.1,0.0,0.304,0.51,155.759,audio_features,7A4WmJcWx6KrVRfQ2CP8e7,spotify:track:7A4WmJcWx6KrVRfQ2CP8e7,https://api.spotify.com/v1/tracks/7A4WmJcWx6KrVRfQ2CP8e7,https://api.spotify.com/v1/audio-analysis/7A4WmJcWx6KrVRfQ2CP8e7,221400.0,4.0
2021,Harry Styles,Golden,0.591,0.449,1.0,-9.567,1.0,0.216,0.0079,0.0725,0.113,0.141,168.013,audio_features,6cs8wOglJn8GqaBKfvdcHc,spotify:track:6cs8wOglJn8GqaBKfvdcHc,https://api.spotify.com/v1/tracks/6cs8wOglJn8GqaBKfvdcHc,https://api.spotify.com/v1/audio-analysis/6cs8wOglJn8GqaBKfvdcHc,161620.0,4.0
2021,All Time Low Featuring Demi Lovato & blackbear ,Monsters,0.676,0.623,6.0,-7.297,0.0,0.0352,0.226,1.66e-05,0.159,0.347,111.466,audio_features,230wNo1dnexltKYQbsW7oD,spotify:track:230wNo1dnexltKYQbsW7oD,https://api.spotify.com/v1/tracks/230wNo1dnexltKYQbsW7oD,https://api.spotify.com/v1/audio-analysis/230wNo1dnexltKYQbsW7oD,209489.0,4.0
2021,Travis Scott & HVME,Goosebumps,0.781,0.881,7.0,-10.143,0.0,0.0686,0.441,0.649,0.11,0.445,119.002,audio_features,74LRqSi9vqy4vnxCLInNAw,spotify:track:74LRqSi9vqy4vnxCLInNAw,https://api.spotify.com/v1/tracks/74LRqSi9vqy4vnxCLInNAw,https://api.spotify.com/v1/audio-analysis/74LRqSi9vqy4vnxCLInNAw,307082.0,4.0
2021,Ava Max,My Head And My Heart,0.282,0.896,1.0,-8.417,1.0,0.0945,0.85,0.945,0.0791,0.195,96.585,audio_features,6QDgUxnHu3PVsmn1mLeh0b,spotify:track:6QDgUxnHu3PVsmn1mLeh0b,https://api.spotify.com/v1/tracks/6QDgUxnHu3PVsmn1mLeh0b,https://api.spotify.com/v1/audio-analysis/6QDgUxnHu3PVsmn1mLeh0b,36115.0,3.0
2021,Jack Harlow,Tyler Herro,0.485,0.834,9.0,-5.413,1.0,0.0715,0.0665,0.0,0.28,0.659,90.933,audio_features,58spuRyMUsjKHQHEGwLC99,spotify:track:58spuRyMUsjKHQHEGwLC99,https://api.spotify.com/v1/tracks/58spuRyMUsjKHQHEGwLC99,https://api.spotify.com/v1/audio-analysis/58spuRyMUsjKHQHEGwLC99,211767.0,4.0
2021,Brett Young,Lady,0.801,0.497,6.0,-8.983,0.0,0.0487,0.519,5.45e-05,0.0891,0.36,107.03,audio_features,6xiwKFReTZ7XlXpSi3x2Sb,spotify:track:6xiwKFReTZ7XlXpSi3x2Sb,https://api.spotify.com/v1/tracks/6xiwKFReTZ7XlXpSi3x2Sb,https://api.spotify.com/v1/audio-analysis/6xiwKFReTZ7XlXpSi3x2Sb,244486.0,4.0
2021,Glass Animals,Heat Waves,0.526,0.919,11.0,-4.702,0.0,0.32,0.194,0.0,0.037,0.704,180.069,audio_features,09EyrQlZFXMjTWJAcJRVbm,spotify:track:09EyrQlZFXMjTWJAcJRVbm,https://api.spotify.com/v1/tracks/09EyrQlZFXMjTWJAcJRVbm,https://api.spotify.com/v1/audio-analysis/09EyrQlZFXMjTWJAcJRVbm,217367.0,4.0
2021,Ed Sheeran,Afterglow,0.704,0.838,2.0,-5.744,1.0,0.0289,0.0677,0.00669,0.121,0.699,121.972,audio_features,0seE1aF8gzSPH79Dcvcbw2,spotify:track:0seE1aF8gzSPH79Dcvcbw2,https://api.spotify.com/v1/tracks/0seE1aF8gzSPH79Dcvcbw2,https://api.spotify.com/v1/audio-analysis/0seE1aF8gzSPH79Dcvcbw2,290933.0,4.0
2021,Luke Combs,Forever After All,0.448,0.413,5.0,-7.411,1.0,0.0511,0.575,0.0,0.121,0.406,169.319,audio_features,3qePCADpvWQ38YCLxXBrdU,spotify:track:3qePCADpvWQ38YCLxXBrdU,https://api.spotify.com/v1/tracks/3qePCADpvWQ38YCLxXBrdU,https://api.spotify.com/v1/audio-analysis/3qePCADpvWQ38YCLxXBrdU,155729.0,4.0
2021,Black Eyed Peas X Shakira,Girl Like Me,0.154,0.0696,3.0,-26.425,1.0,0.0388,0.98,0.566,0.111,0.0935,140.083,audio_features,5H4Cs3XIkgOJSTp8KWYbXs,spotify:track:5H4Cs3XIkgOJSTp8KWYbXs,https://api.spotify.com/v1/tracks/5H4Cs3XIkgOJSTp8KWYbXs,https://api.spotify.com/v1/audio-analysis/5H4Cs3XIkgOJSTp8KWYbXs,116250.0,4.0
2021,Masked Wolf,Astronaut In The Ocean,0.532,0.584,8.0,-5.254,1.0,0.0248,0.723,0.0,0.101,0.367,88.003,audio_features,0sKEilrw1GrBlG6qsTCrP4,spotify:track:0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/tracks/0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4,190680.0,4.0
2021,Bad Bunny & ROSALIA,La Noche de Anoche,0.547,0.636,4.0,-8.739,0.0,0.443,0.112,1.01e-05,0.142,0.416,173.961,audio_features,0gmYtRyuvRKpd6cCApSDTh,spotify:track:0gmYtRyuvRKpd6cCApSDTh,https://api.spotify.com/v1/tracks/0gmYtRyuvRKpd6cCApSDTh,https://api.spotify.com/v1/audio-analysis/0gmYtRyuvRKpd6cCApSDTh,111810.0,4.0
2021,Coi Leray,No More Parties,0.409,0.678,9.0,-7.731,1.0,0.0878,0.359,4.76e-06,0.167,0.168,89.968,audio_features,6TodWdTSDfzwgYynTZSvJn,spotify:track:6TodWdTSDfzwgYynTZSvJn,https://api.spotify.com/v1/tracks/6TodWdTSDfzwgYynTZSvJn,https://api.spotify.com/v1/audio-analysis/6TodWdTSDfzwgYynTZSvJn,280842.0,4.0
2021,Morgan Wallen,Somebody's Problem,0.725,0.419,0.0,-15.029,1.0,0.34,0.00322,0.876,0.0769,0.552,162.018,audio_features,6C0ZkhjcCNK8JsmuN43Vv2,spotify:track:6C0ZkhjcCNK8JsmuN43Vv2,https://api.spotify.com/v1/tracks/6C0ZkhjcCNK8JsmuN43Vv2,https://api.spotify.com/v1/audio-analysis/6C0ZkhjcCNK8JsmuN43Vv2,142237.0,4.0
2021,Dustin Lynch,Momma's House,0.402,0.526,9.0,-6.741,0.0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,audio_features,51EC3I1nQXpec4gDk0mQyP,spotify:track:51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/tracks/51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/audio-analysis/51EC3I1nQXpec4gDk0mQyP,339067.0,4.0
2021,Eric Church,Hell Of A View,0.795,0.655,7.0,-3.815,1.0,0.0422,0.076,1.76e-06,0.296,0.744,93.029,audio_features,2TksvaRivgAEj780DgRB73,spotify:track:2TksvaRivgAEj780DgRB73,https://api.spotify.com/v1/tracks/2TksvaRivgAEj780DgRB73,https://api.spotify.com/v1/audio-analysis/2TksvaRivgAEj780DgRB73,215891.0,4.0
2021,Giveon,Heartbreak Anniversary,0.798,0.733,7.0,-4.811,0.0,0.0476,0.265,1.25e-06,0.114,0.861,146.046,audio_features,1D2L6MefbXon28PzIk9I3r,spotify:track:1D2L6MefbXon28PzIk9I3r,https://api.spotify.com/v1/tracks/1D2L6MefbXon28PzIk9I3r,https://api.spotify.com/v1/audio-analysis/1D2L6MefbXon28PzIk9I3r,211427.0,4.0
2021,Pooh Shiesty Featuring BIG30,Neighbors,0.59,0.672,1.0,-11.792,1.0,0.412,0.125,1.04e-06,0.147,0.688,206.247,audio_features,0PV1TFUMTBrDETzW6KQulB,spotify:track:0PV1TFUMTBrDETzW6KQulB,https://api.spotify.com/v1/tracks/0PV1TFUMTBrDETzW6KQulB,https://api.spotify.com/v1/audio-analysis/0PV1TFUMTBrDETzW6KQulB,286440.0,4.0
2021,Jason Derulo Featuring Adam Levine,Lifestyle,0.706,0.558,7.0,-5.253,1.0,0.0525,0.0792,0.0,0.162,0.212,112.975,audio_features,691df0fYjhhszUgQH3FGvP,spotify:track:691df0fYjhhszUgQH3FGvP,https://api.spotify.com/v1/tracks/691df0fYjhhszUgQH3FGvP,https://api.spotify.com/v1/audio-analysis/691df0fYjhhszUgQH3FGvP,169405.0,4.0
2021,The Kid LAROI,So Done,0.883,0.54,5.0,-9.972,1.0,0.0351,0.0238,0.016,0.0409,0.906,109.93,audio_features,6S7FhjeIvnVM18vzW6Di7R,spotify:track:6S7FhjeIvnVM18vzW6Di7R,https://api.spotify.com/v1/tracks/6S7FhjeIvnVM18vzW6Di7R,https://api.spotify.com/v1/audio-analysis/6S7FhjeIvnVM18vzW6Di7R,168670.0,4.0
2021,Tenille Arts,Somebody Like That,0.154,0.0244,11.0,-30.859,1.0,0.0399,0.985,0.954,0.109,0.0336,137.961,audio_features,6pxUCNb8Yrv0sIeIc6IO7D,spotify:track:6pxUCNb8Yrv0sIeIc6IO7D,https://api.spotify.com/v1/tracks/6pxUCNb8Yrv0sIeIc6IO7D,https://api.spotify.com/v1/audio-analysis/6pxUCNb8Yrv0sIeIc6IO7D,107864.0,4.0
2021,Lil Durk Featuring Lil Baby,Finesse Out The Gang Way,0.462,0.517,1.0,-12.017,1.0,0.369,0.47,0.0,0.147,0.656,79.585,audio_features,1qzlwbV6SwHYOR3mhu6ZEd,spotify:track:1qzlwbV6SwHYOR3mhu6ZEd,https://api.spotify.com/v1/tracks/1qzlwbV6SwHYOR3mhu6ZEd,https://api.spotify.com/v1/audio-analysis/1qzlwbV6SwHYOR3mhu6ZEd,250737.0,4.0
2021,DaBaby,Masterpiece,0.608,0.59,1.0,-12.1,0.0,0.752,0.44,0.0,0.327,0.907,175.8,audio_features,6EEqI230VaiijRggRAL3rR,spotify:track:6EEqI230VaiijRggRAL3rR,https://api.spotify.com/v1/tracks/6EEqI230VaiijRggRAL3rR,https://api.spotify.com/v1/audio-analysis/6EEqI230VaiijRggRAL3rR,129693.0,4.0
2021,DDG,Moonwalking In Calabasas,0.494,0.887,6.0,-4.297,0.0,0.398,0.00661,0.0,0.103,0.548,89.554,audio_features,7sLpSWxQazJzDVG6YGzlVs,spotify:track:7sLpSWxQazJzDVG6YGzlVs,https://api.spotify.com/v1/tracks/7sLpSWxQazJzDVG6YGzlVs,https://api.spotify.com/v1/audio-analysis/7sLpSWxQazJzDVG6YGzlVs,234627.0,4.0
